2023-05-06 11:51:36,028 - DEBUG - [info] number of GPUs: 1
2023-05-06 11:51:36,029 - DEBUG - [info] world_size: 1
2023-05-06 11:51:36,032 - DEBUG - train_files: 219
2023-05-06 11:51:36,033 - DEBUG - val_files: 55
2023-05-06 11:51:38,547 - DEBUG - [info] use pretrained weights
2023-05-06 11:51:38,550 - DEBUG - num_epochs: 200
2023-05-06 11:51:38,551 - DEBUG - num_epochs_per_validation: 2
2023-05-06 11:51:38,551 - DEBUG - [info] training from scratch
2023-05-06 11:51:38,551 - DEBUG - [info] amp enabled
2023-05-06 11:51:38,555 - DEBUG - ----------
2023-05-06 11:51:38,555 - DEBUG - epoch 1/200
2023-05-06 11:51:38,555 - DEBUG - learning rate is set to 0.0
2023-05-06 11:55:50,984 - DEBUG - [2023-05-06 11:55:50] 29/110, train_loss: 3.7330
2023-05-06 11:55:51,560 - DEBUG - [2023-05-06 11:55:51] 29/110, train_loss: 3.7787
2023-05-06 11:55:52,135 - DEBUG - [2023-05-06 11:55:52] 29/110, train_loss: 3.7892
2023-05-06 11:55:52,780 - DEBUG - [2023-05-06 11:55:52] 30/110, train_loss: 3.7355
2023-05-06 11:55:53,358 - DEBUG - [2023-05-06 11:55:53] 30/110, train_loss: 3.6726
2023-05-06 11:55:53,939 - DEBUG - [2023-05-06 11:55:53] 30/110, train_loss: 3.7465
2023-05-06 11:55:54,517 - DEBUG - [2023-05-06 11:55:54] 30/110, train_loss: 3.7199
2023-05-06 11:55:55,184 - DEBUG - [2023-05-06 11:55:55] 31/110, train_loss: 3.8107
2023-05-06 11:55:55,759 - DEBUG - [2023-05-06 11:55:55] 31/110, train_loss: 3.7408
2023-05-06 11:55:56,333 - DEBUG - [2023-05-06 11:55:56] 31/110, train_loss: 3.8468
2023-05-06 11:55:56,910 - DEBUG - [2023-05-06 11:55:56] 31/110, train_loss: 3.8009
2023-05-06 11:55:57,584 - DEBUG - [2023-05-06 11:55:57] 32/110, train_loss: 3.7301
2023-05-06 11:55:58,159 - DEBUG - [2023-05-06 11:55:58] 32/110, train_loss: 3.8201
2023-05-06 11:55:58,734 - DEBUG - [2023-05-06 11:55:58] 32/110, train_loss: 3.7769
2023-05-06 11:55:59,309 - DEBUG - [2023-05-06 11:55:59] 32/110, train_loss: 3.7775
2023-05-06 11:56:31,095 - DEBUG - [2023-05-06 11:56:31] 33/110, train_loss: 3.6520
2023-05-06 11:56:31,668 - DEBUG - [2023-05-06 11:56:31] 33/110, train_loss: 3.7783
2023-05-06 11:56:32,241 - DEBUG - [2023-05-06 11:56:32] 33/110, train_loss: 3.7409
2023-05-06 11:56:32,814 - DEBUG - [2023-05-06 11:56:32] 33/110, train_loss: 3.8136
2023-05-06 11:56:33,460 - DEBUG - [2023-05-06 11:56:33] 34/110, train_loss: 3.7374
2023-05-06 11:56:34,034 - DEBUG - [2023-05-06 11:56:34] 34/110, train_loss: 3.7706
2023-05-06 11:56:34,609 - DEBUG - [2023-05-06 11:56:34] 34/110, train_loss: 3.8102
2023-05-06 11:56:35,183 - DEBUG - [2023-05-06 11:56:35] 34/110, train_loss: 3.7689
2023-05-06 11:56:35,830 - DEBUG - [2023-05-06 11:56:35] 35/110, train_loss: 3.7664
2023-05-06 11:56:36,405 - DEBUG - [2023-05-06 11:56:36] 35/110, train_loss: 3.7730
2023-05-06 11:56:36,980 - DEBUG - [2023-05-06 11:56:36] 35/110, train_loss: 3.7235
2023-05-06 11:56:37,554 - DEBUG - [2023-05-06 11:56:37] 35/110, train_loss: 3.6859
2023-05-06 11:56:38,187 - DEBUG - [2023-05-06 11:56:38] 36/110, train_loss: 3.8056
2023-05-06 11:56:38,761 - DEBUG - [2023-05-06 11:56:38] 36/110, train_loss: 3.8035
2023-05-06 11:56:39,336 - DEBUG - [2023-05-06 11:56:39] 36/110, train_loss: 3.6965
2023-05-06 11:56:39,913 - DEBUG - [2023-05-06 11:56:39] 36/110, train_loss: 3.7504
2023-05-06 11:56:40,571 - DEBUG - [2023-05-06 11:56:40] 37/110, train_loss: 3.7709
2023-05-06 11:56:41,147 - DEBUG - [2023-05-06 11:56:41] 37/110, train_loss: 3.7785
2023-05-06 11:56:41,722 - DEBUG - [2023-05-06 11:56:41] 37/110, train_loss: 3.6487
2023-05-06 11:56:42,296 - DEBUG - [2023-05-06 11:56:42] 37/110, train_loss: 3.7680
2023-05-06 11:56:42,945 - DEBUG - [2023-05-06 11:56:42] 38/110, train_loss: 3.7626
2023-05-06 11:56:43,521 - DEBUG - [2023-05-06 11:56:43] 38/110, train_loss: 3.7809
